date,headline,snippet,link
19890501,"OSHA Seeks $1 Million Fine For Contractors in Explosion","LEAD: The Labor Department today cited two contractors for safety and health violations and proposed $1.15 million in fines for a methane gas explosion that killed three workers in a sewer tunnel project.","http://www.nytimes.com/1989/05/02/us/osha-seeks-1-million-fine-for-contractors-in-explosion.html"
19890601,"Carthage Journal; A Brokenhearted Town Wants to Buy a College","LEAD: This remote little town near the Mississippi River had an unusual auction in May. There were no rare stamps or priceless heirlooms on the block, but rather the dining hall, gymnasium, library, auditorium, bookstore, all four classroom buildings...","http://www.nytimes.com/1989/06/01/us/carthage-journal-a-brokenhearted-town-wants-to-buy-a-college.html"
19890701,"North Mistrial Move Denied; Way Cleared for Sentencing","LEAD: The judge in the case of Oliver L. North today denied a defense motion for a mistrial over a juror's failure to disclose her family's past brushes with the law.","http://www.nytimes.com/1989/07/01/us/north-mistrial-move-denied-way-cleared-for-sentencing.html"
19890801,"Kountze Journal; The Numbers Are Up For One Texas Town","LEAD: No one here has ever had an address. In a town with 2,716 residents and 850 houses, this has never been a problem.","http://www.nytimes.com/1989/08/01/us/kountze-journal-the-numbers-are-up-for-one-texas-town.html"
19890901,"Black Gains Right to Shed White Label","LEAD: A light-skinned black woman has won her battle to stop the illusion that she was white, even though her parents listed her as white on her birth certificate in an attempt to help her overcome racial bias.","http://www.nytimes.com/1989/09/01/us/black-gains-right-to-shed-white-label.html"
19891001,"18 Hurt in Cleveland Crash","LEAD: A tractor-trailer loaded with steel coils hit the rear end of a disabled tourist bus today, and the police said 18 people had been hurt. The victims were carried to various hospitals, and there was no word on the severity of their injuries.","http://www.nytimes.com/1989/10/01/us/18-hurt-in-cleveland-crash.html"
19891101,"Washington Talk; California Has Dream Of Making Presidents","LEAD: California wants to get back into the Presidential nominating game.","http://www.nytimes.com/1989/11/02/us/washington-talk-california-has-dream-of-making-presidents.html"
19891201,"Amtrak Convicted of Putting Sewage in Florida Waterways","LEAD: A jury in a state court today found Amtrak guilty of dumping raw sewage into Florida waterways, in the national rail passenger line's first such criminal trial.","http://www.nytimes.com/1989/12/01/us/amtrak-convicted-of-putting-sewage-in-florida-waterways.html"
19900101,"90's, in Poll: A Good Life Amid Old Ills","LEAD: As Americans look to the year 2000, most of them anticipate a better life for themselves, but at the same time they foresee a worsening of many of the nation's social and economic problems, according to a new Gallup Poll.","http://www.nytimes.com/1990/01/01/us/90-s-in-poll-a-good-life-amid-old-ills.html"
19900201,"St. Paul Journal;   He Says Populist but Foes Say Pasha","LEAD: While other states grapple with crime or drugs or unemployment, the Minnesota gubernatorial race this year may hinge on one question: Is Gov. Rudy Perpich an arrogant autocrat who lives in a Middle Western Taj Mahal or an offbeat populist who...","http://www.nytimes.com/1990/02/01/us/st-paul-journal-he-says-populist-but-foes-say-pasha.html"
19900301,"Kansas City Journal;   Good Night To a Voice That Was In a Duet","LEAD: Yet another of America's newspapers slipped away into history today.","http://www.nytimes.com/1990/03/01/us/kansas-city-journal-good-night-to-a-voice-that-was-in-a-duet.html"
19900401,"A Role for Records? Purists Say: 'Yes. Just Listen.'","LEAD: Michael Heth says customers walking into his hi-fi store in this affluent San Francisco suburb are often shocked.","http://www.nytimes.com/1990/04/01/us/a-role-for-records-purists-say-yes-just-listen.html"
19900501,"Citizens Confront Watkins on Secrecy Over Atomic Plant Troubles","LEAD: Leaders of citizens' groups in 17 states criticized Energy Secretary James D. Watkins today, saying his department was not doing enough to include the public in decisions about the future of the nation's nuclear weapons industry.","http://www.nytimes.com/1990/05/01/us/citizens-confront-watkins-on-secrecy-over-atomic-plant-troubles.html"
19900601,"Leaner Summer for Students in New York Firms","LEAD: As law students arrive at big New York law firms this week to begin their stints as summer associates, they may have to look a bit harder for the lavish trimmings that predecessors enjoyed in recent years.","http://www.nytimes.com/1990/06/01/us/leaner-summer-for-students-in-new-york-firms.html"
19900701,"American Blacks Talk of Change As Main Legacy of Mandela Visit","LEAD: With the euphoria of his visit here still dominating her thoughts, Pearl Cleage is thinking about life after Nelson Mandela.","http://www.nytimes.com/1990/07/01/us/american-blacks-talk-of-change-as-main-legacy-of-mandela-visit.html"
19900801,"Minority Role in Broadcasting Yields Far Bigger Effect on Radio Than TV","LEAD: After Federal and local law-enforcement officials arrested Mayor Marion S. Barry Jr. of Washington on drug charges in January, Cathy Hughes devoted a week of her morning radio talk show on WOL-AM to issues raised by the arrest.","http://www.nytimes.com/1990/08/01/us/minority-role-in-broadcasting-yields-far-bigger-effect-on-radio-than-tv.html"
19900901,"Cult Leader Convicted of 5 Killings in Ohio","LEAD: The leader of a religious cult has been convicted of killing a family of five last year and burying them on a farm where his group lived.","http://www.nytimes.com/1990/09/01/us/cult-leader-convicted-of-5-killings-in-ohio.html"
19901001,"Focus Is On Judge In Trial Of Museum","LEAD: The Mapplethorpe trial, a test case for current standards of obscenity, is by far the most controversial case that Judge F. David J. Albanese has heard in his nine years on the bench, Cincinnati lawyers say.","http://www.nytimes.com/1990/10/02/us/focus-is-on-judge-in-trial-of-museum.html"
19901101,"Hawaii Race Tests Democratic Hold","  Two former schoolteachers are in a tight but polite race to represent Hawaii in the United States Senate, and the results may teach something of a lesson about the future of the politically remote and inbred but fast-changing island state.   From...","http://www.nytimes.com/1990/11/01/us/the-1990-campaign-hawaii-race-tests-democratic-hold.html"
19901201,"Daughter's Words Bring 1969 Slaying Conviction","  A man accused by his daughter of molesting and killing her 8-year-old playmate 21 years ago was convicted today of first-degree murder.    George Thomas Franklin, 51 years old, showed no emotion when the verdict was read, ending his trial, in...","http://www.nytimes.com/1990/12/01/us/daughter-s-words-bring-1969-slaying-conviction.html"
19910101,"Leaving Public Office, Dukakis Reflects, and Emerges Upbeat","  It is a classic Dukakis moment.   He is about to leave the governorship of Massachusetts, a job he held for 12 years. He is ending three years on a merciless wheel of fortune, plummeting from the Democratic Presidential nomination to the disdain of...","http://www.nytimes.com/1991/01/01/us/leaving-public-office-dukakis-reflects-and-emerges-upbeat.html"
19910201,"Barred Colombian Settles for Visa in U.S. Suit","  Patricia Lara, a Colombian journalist who was barred from entering the United States when her name came up on the Immigration and Naturalization Service's "lookout" list four years ago, has settled a suit against the Federal Government by accepting...","http://www.nytimes.com/1991/02/01/us/barred-colombian-settles-for-visa-in-us-suit.html"
19910301,"2 CHURCHES WEIGH GAY CLERGY PLANS","  Separate study commissions of the Presbyterian Church (U.S.A.) and the Epsicopal Church recommended steps this week that would liberalize the denominations' stands against the ordination of active homosexuals.   Both committees' reports, which will...","http://www.nytimes.com/1991/03/01/us/2-churches-weigh-gay-clergy-plans.html"
19910401,"2 Drowning Victims Found","  Rescue crews have found the bodies of two young brothers who were swept into the flooded Calaveras River, the last of the four victims who drowned when they stumbled into the chilly water on Wednesday. The bodies of Herbert Pich, 9 years old, and...","http://www.nytimes.com/1991/04/01/us/2-drowning-victims-found.html"
19910501,"HIGHER COST SEEN FOR NEW SPACE LAB","  The more modest version of the space station proposed recently by NASA will cost about $40 billion when completed and occupied in 1999, or about $10 billion more than the agency projects, according to a new estimate from the General Accounting...","http://www.nytimes.com/1991/05/01/us/higher-cost-seen-for-new-space-lab.html"
19910601,"At Wellesley, Advice To Seek Creative Path","  Madeleine L'Engle, the author of "A Wrinkle in Time" and other books praised for their unusual blend of fantasy, science and autobiography, advised graduating seniors at Wellesley College's 113th commencement exercises yesterday to be aware of the...","http://www.nytimes.com/1991/06/01/us/commencements-at-wellesley-advice-to-seek-creative-path.html"
19910701,"A Timetable For Decisions","  Here are the dates by which the Defense Base Closure and Realignment Commission, the President and Congress are expected to act on base closings: July 1: The commission sends its recommendations to the President.","http://www.nytimes.com/1991/07/01/us/a-timetable-for-decisions.html"
19910801,"Inquiry Finds Illegal Surveillance of Workers in Nuclear Plants","  The Energy Department's inspector general has found that security personnel at the nation's nuclear weapons plants illegally acquired and used equipment for wiretapping, eavesdropping and other surveillance in violation of department regulations...","http://www.nytimes.com/1991/08/01/us/inquiry-finds-illegal-surveillance-of-workers-in-nuclear-plants.html"
19911101,"420 Fires in West Virginia","  A total of 420 brush and forest fires have burned across 100,000 acres in West Virginia since last Saturday, doing damage estimated at $30 million. Arsonists have been blamed for many of the blazes, and at least three people have been arrested....","http://www.nytimes.com/1991/11/01/us/420-fires-in-west-virginia.html"
19920301,"THE 1992 CAMPAIGN: White House; Concerned About Buchanan, Bush Makes Final Appeal in Georgia","  President Bush today began making a final appeal to Georgia Republicans before the state's closely watched primary election, as his advisers expressed new concern that his opponent, Patrick J. Buchanan, may again seize an embarrassing share of the...","http://www.nytimes.com/1992/03/01/us/1992-campaign-white-house-concerned-about-buchanan-bush-makes-final-appeal.html"
19920401,"Prosecution Starts Closing Arguments in 7-Month-Old Noriega Trial","  Gen. Manuel Antonio Noriega was "nothing more than a corrupt, crooked and rotten cop" who eagerly "sold his uniform, his army and his protection to a murderous criminal gang called the Medellin cocaine cartel," a Federal prosecutor said today as...","http://www.nytimes.com/1992/04/01/us/prosecution-starts-closing-arguments-in-7-month-old-noriega-trial.html"
19920701,"Vietnamese Convicted in Slaying of a White","  Three Vietnamese immigrants men were convicted on Monday in the fatal stabbing of a white man last August in a case whose prosecution has drawn broad criticism from Asian residents on fairness grounds.   A Common Pleas Court jury returned guilty...","http://www.nytimes.com/1992/07/01/us/vietnamese-convicted-in-slaying-of-a-white.html"
19921101,"Issues of Race and Home Rule Confound Death Penalty Vote in Washington","  On an unusually warm day last January, the District of Columbia recorded two murders, about average for the city with the nation's highest murder rate.   One killing had little effect beyond the grief to the victim's friends and family. But the...","http://www.nytimes.com/1992/11/01/us/issues-of-race-and-home-rule-confound-death-penalty-vote-in-washington.html"
19940401,"2 Men Charged in the Killing Of Japanese Students for a Car","  Two reputed gang members were arrested late Wednesday for killing two Japanese college students in a carjacking a week ago, the police said.    The suspects, Raymond Oscar Butler, 18, of San Pedro and Alberto V. Reygoza, 20, of Long Beach will be...","http://www.nytimes.com/1994/04/01/us/2-men-charged-in-the-killing-of-japanese-students-for-a-car.html"
19940701,"U.S. Judges Can Delay Executions to Allow Federal Reviews, Justices Rule","In a rare victory for death row inmates, the Supreme Court ruled today that Federal district judges can postpone executions of convicts who have exhausted their state appeals to give them a chance to get lawyers for a Federal review of their cases.  ...","http://www.nytimes.com/1994/07/01/us/supreme-court-capital-punishment-us-judges-can-delay-executions-allow-federal.html"
19941001,"INSIDE","    Airplane Noise Plan Rejected   ","http://www.nytimes.com/1994/10/01/us/inside-024562.html"
19941201,"House Panel Says C.I.A. Failed to Disclose Lapses in Mole Case","  The Central Intelligence Agency waited eight years to tell Congress that its best secret agents and biggest operations in the Soviet Union were destroyed in the mid-1980's, despite a law requiring the agency to disclose all significant intelligence...","http://www.nytimes.com/1994/12/01/us/house-panel-says-cia-failed-to-disclose-lapses-in-mole-case.html"
19950301,"Troubled By Deficit, Persistent In Populism","  When Kent Conrad arrived in Washington as a freshman Senator in 1987, he staked his political career on the quixotic goal of reducing the Federal budget deficit by 80 percent in his first term. The deficit grew instead, and after six years in...","http://www.nytimes.com/1995/03/01/us/the-104th-congress-holdout-troubled-by-deficit-persistent-in-populism.html"
19950401,"Aging of Glass Threatens America's Charter Documents","  The sealed glass cases protecting the Declaration of Independence, the Constitution and the Bill of Rights are undergoing unexpected deterioration that could affect the condition of the nation's three most prized documents, experts told the...","http://www.nytimes.com/1995/04/01/us/aging-of-glass-threatens-america-s-charter-documents.html"
19950601,"Evidence Shows Link of 2 Centuries of Drought to Maya Decline","New evidence from a Mexican lake bed has revealed that an unusually severe drought about 1,200 years ago may well have contributed to the abrupt decline of classic Maya civilization.         Scientists from the University of Florida said an analysis...","http://www.nytimes.com/1995/06/01/us/evidence-shows-link-of-2-centuries-of-drought-to-maya-decline.html"
19950701,"After Brief Respite, Central Virginia Gets Soaked Again","  Rain that had fallen on central and southern Virginia for a week subsided for a time today but then returned with fury tonight, when a thunderstorm lashed the heart of the region and threatened more flash flooding.   It was the last thing Virginia...","http://www.nytimes.com/1995/07/01/us/after-brief-respite-central-virginia-gets-soaked-again.html"
19950801,"Regulators See Conflict at Firm Tied to Clintons","  The Arkansas law firm in which Hillary Rodham Clinton and several senior Administration officials were partners violated conflict-of-interest rules in representing a savings association at the center of the Whitewater investigation, Federal...","http://www.nytimes.com/1995/08/01/us/regulators-see-conflict-at-firm-tied-to-clintons.html"
19951001,"Carson City Journal;>Old West Is Renewed In a Corner Of Nevada","By the time Robert C. McFadden bought the St. Charles Hotel in 1993, the once-grand 19th-century inn had become a civic embarrassment -- the unsteady center of a skid row neighborhood of bars and $35-a-week flophouses perched directly across Carson...","http://www.nytimes.com/1995/10/01/us/carson-city-journal-old-west-is-renewed-in-a-corner-of-nevada.html"
19951101,"Bomb Sent to Judge Is Found at U.S. Courthouse","A package containing a bomb and addressed to a Federal judge was intercepted  today at the Federal courthouse here and detonated by a bomb squad, the authorities said.         The package was intended for Judge Blanche M. Manning, and the police said...","http://www.nytimes.com/1995/11/01/us/bomb-sent-to-judge-is-found-at-us-courthouse.html"
19951201,"Specter Savors Failed Run for Roses","Where are the Republican moderates of yesteryear? asks Senator Arlen Specter, now that his Presidential bid has expired as softly as the tree falling unnoticed beyond the forest fringe.         "We didn't get them activated," conceded the Senator,...","http://www.nytimes.com/1995/12/01/us/specter-savors-failed-run-for-roses.html"
19960201,"Legislators Get the Pitch, Taylor-Style","The rich man's Presidential campaign of Maurice M. Taylor, the tire-and-wheel tycoon better known as Morry, blew into the New Hampshire Legislature today, hurling blustery derision at fellow Republican contenders and startling the staid chamber with...","http://www.nytimes.com/1996/02/01/us/politics-in-the-pack-legislators-get-the-pitch-taylor-style.html"
19960301,"Boy, 11, Is Arrested In Armed Robberies","An 11-year-old boy went on a shooting and robbery rampage on Tuesday before wounding a security guard who then held the boy for the police, the authorities  said.         The boy left school with his mother earlier in the day, telling nurses that he...","http://www.nytimes.com/1996/03/01/us/boy-11-is-arrested-in-armed-robberies.html"
19960501,"Tobacco Whistle-Blower Acknowledges Plaintiff Lawyers Paid Him","A paralegal who provided anti-tobacco lawyers a crucial set of documents about a tobacco company's secret studies on the health dangers of cigarettes says the lawyers gave him more than $100,000.         The paralegal, Merrell Williams, was working...","http://www.nytimes.com/1996/05/01/us/tobacco-whistle-blower-acknowledges-plaintiff-lawyers-paid-him.html"
19960601,"Dole Favors 'Instant Check' for Gun Control","Saying he knew from personal experience the damage that guns could do, Bob Dole told police officers in this Columbus suburb today that he would control guns in America with an instant check on anyone who wanted to buy one, not with  a ban on assault...","http://www.nytimes.com/1996/06/01/us/dole-favors-instant-check-for-gun-control.html"
19960801,"Points of Agreement, and Disagreement, on the Wefare Bill","After vetoing two Republic versions of welfare overhaul legislation, President Clinton said yesterday that he would sign a compromise bill that would end the Federal guarantee of cash assistance for the poor. The bill was completed this week by House...","http://www.nytimes.com/1996/08/01/us/the-welfare-bill-points-of-agreement-and-disagreement-on-the-wefare-bill.html"
19960901,"In His Own Words"," BOB DOLE     From a radio speech yesterday to the nation:  ","http://www.nytimes.com/1996/09/01/us/in-his-own-words-139513.html"
19961101,"Perot, on the Stump, Goes on the Attack","As the 1996 campaign draws to a close, the nation is seeing another side of Ross Perot.    Four years ago, his enemy was George Bush, and his weapons were charts, graphs and homespun lectures on the economy that were broadcast from television...","http://www.nytimes.com/1996/11/01/us/perot-on-the-stump-goes-on-the-attack.html"
19970201,"VOLUNTARY RULES ON APPAREL LABOR PROVE HARD TO SET","In a groundbreaking effort to set minimum standards at apparel factories both in the United States and abroad, a Presidential task force that includes representatives of labor unions, human rights groups and industry powerhouses like Liz Claiborne,...","http://www.nytimes.com/1997/02/01/us/voluntary-rules-on-apparel-labor-prove-hard-to-set.html"
19970501,"House Passes Bill to Encourage Adoption of Abused Children","The House of Representatives today passed a bill that would increase and speed up adoptions of children who have been abused or abandoned by their parents.    The measure, approved 416 to 5, would make far-reaching changes in child welfare programs...","http://www.nytimes.com/1997/05/01/us/house-passes-bill-to-encourage-adoption-of-abused-children.html"
19970801,"Cohen Details Faults of General in Bombing","Defense Secretary William S. Cohen said today that the Air Force general in charge of the housing complex in Saudi Arabia where 19 airmen were killed in a terrorist blast last year had sufficient warning of a possible attack but failed to safeguard...","http://www.nytimes.com/1997/08/01/us/cohen-details-faults-of-general-in-bombing.html"
19971001,"Chinese Tycoon Gives Columbia $26 Million","Universities are ranging farther and farther afield in raising money, increasingly looking abroad to tap foreign alumni they have long ignored.    But Columbia University is getting a $26 million gift from a less likely source: a Chinese businessman...","http://www.nytimes.com/1997/10/01/us/chinese-tycoon-gives-columbia-26-million.html"
19971101,"Tentative Pact Will Allow Census to Test the Sampling Method","Negotiators from the White House and Speaker Newt Gingrich's office have reached a tentative agreement that would allow the Census Bureau to test its hotly debated new method for estimating the country's population,  Administration and Congressional...","http://www.nytimes.com/1997/11/01/us/tentative-pact-will-allow-census-to-test-the-sampling-method.html"
19980401,"Heated Hearing Over the Fate Of an Agency","A senior House Republican accused the White House today of manipulating a Government review to insure the survival of the beleaguered Immigration and Naturalization Service.     The lawmaker, Representative Harold Rogers of Kentucky, heads a House...","http://www.nytimes.com/1998/04/01/us/heated-hearing-over-the-fate-of-an-agency.html"
19980701,"Holocaust Scholar Quits Museum Job","Expressing ''deep regret,'' the United States Holocaust Museum today accepted the resignation of John K. Roth, whose appointment as the head of a new center for Holocaust scholarship ran into severe criticism from some Jewish groups that said he had...","http://www.nytimes.com/1998/07/01/us/holocaust-scholar-quits-museum-job.html"
19981001,"Artful Technology","Students will examine and discuss examples of Native American art. They will speculate about when and where the works were created and by whom, and discuss the distinctive features and styles of the works. Students will then read the article 'Fading...","http://learning.blogs.nytimes.com/1998/10/01/artful-technology/"
19981101,"Clinton Backer on Judiciary Panel Is in Tight Race","Like President Clinton, Representative Melvin L. Watt is a graduate of the Yale Law School, and he ranks among the President's most steadfast defenders in Congress.    When the House Judiciary Committee begins hearings on the impeachment of Mr....","http://www.nytimes.com/1998/11/01/us/1998-campaign-north-carolina-clinton-backer-judiciary-panel-tight-race.html"
19991101,"Outside the G.O.P.'s Big Tent, Hoping He's Let Back In","SENATOR ROBERT C. SMITH, newly returned from the campaign trail, sat in his spacious office the other day and reflected on the importance of not being a thin-skinned grudge-holder.    He had just folded an independent presidential campaign that...","http://www.nytimes.com/1999/11/01/us/public-lives-outside-the-gop-s-big-tent-hoping-he-s-let-back-in.html"
20000201,"Study Documents Homelessness In American Children Each Year","About 1.35 million children in the United States -- nearly 2 percent of the nation's total -- are likely to become homeless at some point in the course of a year, a new analysis of national census and survey data being presented today has found.    ...","http://www.nytimes.com/2000/02/01/us/study-documents-homelessness-in-american-children-each-year.html"
20000301,"Sand Dollars","In this lesson, students debate the issues of economic prosperity, cultural preservation and environmental preservation in examining the proposed development of land in the Bahamas.","http://learning.blogs.nytimes.com/2000/03/01/sand-dollars/"
20000401,"U.S. Office Encourages Antidrug Message in Magazines","Under a little-known financial agreement with the magazine industry, the Office of National Drug Control Policy has indirectly encouraged magazines to include antidrug messages in their editorial content.     An article in the online magazine Salon...","http://www.nytimes.com/2000/04/01/us/us-office-encourages-antidrug-message-in-magazines.html"
20000701,"Looking Past Georgia's Drought, but Still Seeing Brown","THE long drive leading to the water treatment plant is bordered by grass that is suspiciously green, with flowers that are clearly healthy and -- can that be a purely ornamental fountain recklessly gurgling water in the midst of one of the great...","http://www.nytimes.com/2000/07/01/us/public-lives-looking-past-georgia-s-drought-but-still-seeing-brown.html"
20000801,"Supporting Cast"," Among the speakers on this evening's program:    Trent Lott  Senator from Mississippi      Combining firebrand conservatism and polished tactical skills, Trent Lott, the majority leader in the Senate, has climbed the ranks of the Republican Party....","http://www.nytimes.com/2000/08/02/us/the-republicans-supporting-cast.html"
20000901,"TODAY'S SCHEDULES"," GEORGE W. BUSH -- Lafayette, La.  DICK CHENEY -- No public events  AL GORE -- No public events  JOSEPH I. LIEBERMAN -- Portland, Me.","http://www.nytimes.com/2000/09/01/us/campaign-briefing-today-s-schedules.html"
20001101,"Air Time Is at Premium As Election Draws Near","Thomas R. Carper, the Delaware governor who is running for the United States Senate, is finding what many other politicians across the country already know: that the closer it gets to Election Day, the more expensive it is to get campaign commercials...","http://www.nytimes.com/2000/11/01/us/the-2000-campaign-campaign-costs-air-time-is-at-premium-as-election-draws-near.html"
20001201,"Cleanup of 'Bomblets' in Colorado Refuge Expected Soon","Cleaning up a section of the old Rocky Mountain Arsenal last month, munitions experts stumbled upon a UXO, Army lingo for unexploded ordnance.     Since then, five more have turned up, drawing the Army, federal lawmakers and the State of Colorado...","http://www.nytimes.com/2000/12/01/us/cleanup-of-bomblets-in-colorado-refuge-expected-soon.html"
20010301,"Big Earthquakes and Their Magnitudes","The magnitude of an earthquake is a measure of the amount of shaking. The first magnitude scale was developed by Charles F. Richter, a seismologist, in the 1930's. On his scale, each increase of 1 unit represented a 10-fold increase in the amplitude...","http://www.nytimes.com/2001/03/01/us/by-the-numbers-big-earthquakes-and-their-magnitudes.html"
20010501,"National Briefing/ROCKIES: COLORADO: GUN CONTROL'S COATTAILS","A ballot initiative in Colorado that would require background checks for those who buy guns from unlicensed dealers has such strong support that at least one Democrat is hoping to ride its coattails to victory. The Democrat, Ken Toltz, is challenging...","http://www.nytimes.com/2001/05/01/us/national-briefing-rockies-colorado-gun-control-s-coattails.html"
20010601,"Young Liberal Law Group Is Expanding","A new legal group, the Madison Society for Law and Policy, hopes to become a  progressive competitor to the conservative Federalist Society, a formidable force in the legal profession.    The Federalist Society, which opposed what it considered the...","http://www.nytimes.com/2001/06/01/us/young-liberal-law-group-is-expanding.html"
20010701,"Political Briefing; Hastert Quashes Retirement Rumors","House Speaker J. Dennis Hastert of Illinois finally grew tired of the swirl of rumors that had him retiring. So the other day in a closed-door meeting with other House leaders, he went out of his way to quash the speculation, declaring there was...","http://www.nytimes.com/2001/07/01/us/political-briefing-hastert-quashes-retirement-rumors.html"
20010801,"Gays Seeking Asylum Find Familiar Prejudices in U. S.","By the time he came to the United States in 1999, Gerson Platero, 29, had had his fill of life as a gay man in Latin America. He had been attacked by the police in El Salvador because he is gay, he said, and shot at after moving to Guatemala. He fled...","http://www.nytimes.com/2001/08/01/us/gays-seeking-asylum-find-familiar-prejudices-in-u-s.html"
20010901,"National Briefing | Rockies: Utah: Widow Seeks Husband's Seat","The widow of State Senator Pete Suazo has announced that she wants to fill the rest of her late husband's term. Mr. Suazo, 50, the Senate's only Latino Democrat, was killed in August in an all-terrain vehicle accident. His widow, Alicia Suazo, a...","http://www.nytimes.com/2001/09/01/us/national-briefing-rockies-utah-widow-seeks-husband-s-seat.html"
20011101,"Master of His Domain","In this lesson, students investigate the basic elements that comprise the Internet. They then create illustrated posters demonstrating their understanding of how the Internet works and develop maps of their 'personal Web communities.'","http://learning.blogs.nytimes.com/2001/11/01/master-of-his-domain/"
20011201,"Security Firm To Give Up Contracts At Airport","A security company that was cited for several security lapses at Logan International Airport after Sept. 11 will no longer screen passengers or baggage at the airport under an agreement reached today with the state.    The company, Argenbright...","http://www.nytimes.com/2001/12/01/us/a-nation-challenged-the-screening-security-firm-to-give-up-contracts-at-airport.html"
20020301,"National Briefing | Southwest: Arizona: Aftermath Of Molestations By Priests","After settling with 16 plaintiffs who accused four Roman Catholic priests of sexual molestations over several decades, the Diocese of Tucson has announced that it will appoint a six-member committee of experts to review policies and procedures for...","http://www.nytimes.com/2002/03/01/us/national-briefing-southwest-arizona-aftermath-of-molestations-by-priests.html"
20020501,"Wide Racial Disparities Found in Costs of Mortgages","A far greater share of black and Hispanic homeowners with above-average incomes still have mortgages with higher interest rates than whites with comparable incomes, according to a study to be released today. The research suggests that conventional...","http://www.nytimes.com/2002/05/01/us/wide-racial-disparities-found-in-costs-of-mortgages.html"
20020601,"National Briefing | Mid-Atlantic: Pennsylvania: Airline Settles Suit","U.S. Airways settled a religious discrimination lawsuit by agreeing to allow an employee from Jamaica to keep his hair long. The employee, Orsino Allen, who worked at Philadelphia International Airport, had asserted that the airline's efforts to...","http://www.nytimes.com/2002/06/01/us/national-briefing-mid-atlantic-pennsylvania-airline-settles-suit.html"
20020801,"Movement in Suit on Custody","A federal judge in Manhattan indicated yesterday that he might be ready to consider the constitutionality of the Bush administration's decision to place Jose Padilla, the former Chicago gang member accused of plotting to explode a radioactive bomb in...","http://www.nytimes.com/2002/08/01/us/traces-of-terror-the-bomb-suspect-movement-in-suit-on-custody.html"
20021001,"Democrats Seek Compromise With White House on Iraq","Congressional Democrats scrambled today to win White House support for a resolution to narrow the conditions for an invasion of Iraq, hoping Republican concessions might allow skeptical Democrats to support the use of force and thus limit floor...","http://www.nytimes.com/2002/10/01/us/threats-responses-politics-democrats-seek-compromise-with-white-house-iraq.html"
20021101,"National Briefing | New England: Massachusetts: Firing Violated Free Speech Rights","A man fired from the Massachusetts Turnpike Authority after voting to delay a toll increase had his right to free speech violated, a federal judge has ruled. The man, Christy Mihos, sued Acting Gov. Jane Swift in February, claiming she had violated...","http://www.nytimes.com/2002/11/01/us/national-briefing-new-england-massachusetts-firing-violated-free-speech-rights.html"
20021201,"They Brake for Turtles In Padre Island Park","Eyeballing a fish supper at 30 miles an hour, the brown pelican flew just six inches above the surf. Suddenly, it made nearly a 90-degree dive and crashed into shallow, churning water.    ''You'd think they'd break their neck, but they never do,''...","http://www.nytimes.com/2002/12/01/us/they-brake-for-turtles-in-padre-island-park.html"
20030201,"Bountiful Journal; Defining Pornography Proves Tricky, Even in a Utah Town","When recent budget cuts led Utah to get rid of its so-called pornography czar, an official charged with helping communities set standards against indecent material, no one was sadder than JoAnn Hamilton.    An author of self-published books about the...","http://www.nytimes.com/2003/02/02/us/bountiful-journal-defining-pornography-proves-tricky-even-in-a-utah-town.html"
20030401,"Justices Hear Debate on Extending a Statute of Limitations","Until the mid-1990's, sex crimes were like most other criminal offenses under California law and could not be prosecuted after three years had elapsed.    But concerned that the inability of young victims of sex crimes to come forward promptly was...","http://www.nytimes.com/2003/04/01/us/justices-hear-debate-on-extending-a-statute-of-limitations.html"
20030501,"Arsenic Poisoning at Church Mystifies a Maine Town","Must have been the coffee, though some around town are speculating about the sugar. The finger sandwiches, however, do seem to have been ruled out.    Whatever it was, the police say it was contaminated with arsenic and served after Sunday services...","http://www.nytimes.com/2003/05/01/us/arsenic-poisoning-at-church-mystifies-a-maine-town.html"
20030701,"National Briefing | Washington: Ashcroft Adviser Steps Down","Attorney General John Ashcroft's chief legal adviser is resigning to join AOL Time Warner. The adviser, Adam Ciongoli, 35, counselor to the attorney general since the start of Mr. Ashcroft's term, helped develop the Justice Department's legal...","http://www.nytimes.com/2003/07/01/us/national-briefing-washington-ashcroft-adviser-steps-down.html"
20030801,"Mexico and U.S. Hold 240 and Seize 13 Tons of Cocaine","The federal authorities announced today the arrests of more than 240 people in the United States and Mexico and the seizure of nearly 13 tons of cocaine in what they described as a major dent in one of Mexico's biggest drug-smuggling operations.   ...","http://www.nytimes.com/2003/08/01/us/mexico-and-us-hold-240-and-seize-13-tons-of-cocaine.html"
20031001,"The Latest Star on the Hollywood Circuit: Clark","The hottest star in Hollywood at this moment is not Nicole or Julia or the two Toms, Cruise and Hanks. It is a 58-year-old retired four-star general who seems to have Hollywood's Democratic Party loyalists -- which means the bulk of the town -- in a...","http://www.nytimes.com/2003/10/01/us/the-latest-star-on-the-hollywood-circuit-clark.html"
20031201,"Early Sales Appear Modest As Holiday Season Begins","Estimates of post-Thanksgiving retail sales ranged yesterday from flat to modest, leaving many merchants hoping that things would pick up later in the season.     Scott Krugman, a spokesman for the National Retail Federation, said this year's weekend...","http://www.nytimes.com/2003/12/01/us/early-sales-appear-modest-as-holiday-season-begins.html"
